,COSMIC_ID,gene_expr,IC50
1,1240121,3.099788583,-6.4360789816618
2,1240122,3.339965324,-5.90643677825064
3,1240123,3.09923374,-8.15877371878153
4,1240124,3.394443226,-7.50463270412182
5,1240127,3.762241806,-6.30922424941147
6,1240128,3.559775258,-7.07717370506675
7,1240129,3.301322854,-3.41606381214332
8,1240131,3.478030064,-5.34247718790186
9,1240132,3.142699795,0.615238742882139
10,1240134,3.308233339,-7.57579075162359
11,1240140,3.199454889,-6.99379458787361
12,1240141,3.187496171,-6.11260367037384
13,1240142,3.276880268,-7.81902336473731
14,1240143,3.260776964,-6.51777447374222
15,1240145,3.909489197,-6.36746584821216
16,1240146,3.30688184,-6.88839273088131
17,1240149,3.949624097,-7.77002078497847
18,1240151,3.228969791,-8.27022479608029
19,1240153,3.275089913,-7.22258149554291
20,1240154,3.971547898,-6.49698812359309
21,1240155,3.6799841,-6.17912056792907
22,1240157,3.327165861,-7.11276499172548
23,1240158,3.704681957,-6.73533144321323
24,1240159,4.457401975,-1.89173531506069
25,1240160,3.354212231,-5.4172650561265
26,1240162,3.019195962,-6.79628386599575
27,1240166,3.139785363,-6.9311311287726
28,1240167,3.290111421,-7.3226338393236
29,1240168,4.233384607,-8.19071642968186
30,1240169,3.498434449,-7.25808189241406
31,1240172,3.232315868,-8.06274072338476
32,1240173,3.203680321,-7.87503744239486
33,1240174,3.079061506,-8.38451653991455
34,1240179,3.742290575,-5.18629535086034
35,1240181,3.422218179,-7.0086658883551
36,1240183,3.920069008,-8.77436592194869
37,1240184,2.948642982,-6.97648224738295
38,1240185,3.57112943,-3.12574451828507
39,1240186,3.431315778,-3.04430149783681
40,1240187,3.214580501,-4.43365577497898
41,1240189,3.286070189,-3.8957916525298
42,1240190,3.420095633,-4.32714304280519
43,1240192,3.719882185,-5.46233629189892
44,1240193,3.487070047,-7.95507239248322
45,1240196,3.311619672,-7.49819395615434
46,1240197,3.284440999,-6.57551978544884
47,1240198,3.268283066,-7.03798000889092
48,1240199,3.331278787,-2.98461431860515
49,1240200,5.363804264,-5.36559926132219
50,1240201,3.404836271,-7.89336255480423
51,1240202,3.371635946,-6.49863423863474
52,1240208,3.453301269,-5.72753826509529
53,1240209,3.276389399,-6.96682340408419
54,1240210,3.36191654,-7.2418212766082
55,1240212,3.26956648,-7.30351813003182
56,1240215,3.336912157,-6.78326642864181
57,1240216,3.332156334,-5.87146296506941
58,1240217,3.370167253,-6.23988399766123
59,1240218,3.356495636,-3.09037684935768
60,1240219,3.209497276,-4.82710612383518
61,1240221,3.772716597,-6.66233251683929
62,1240222,3.30539475,-8.45812284090071
63,1240223,3.505404448,-2.90413646113924
64,1240226,3.252216597,-7.39682875988644
65,1247871,4.728433945,-8.43621840209489
66,1290455,4.42294887,-7.91018149359092
67,1290722,3.284124317,-7.91200650281764
68,1290724,3.313470233,-6.50506721582207
69,1290730,3.218861261,-7.33928831087562
70,1290765,3.289776793,-8.03266918795247
71,1290769,3.264981595,-7.5922331470046
72,1290795,3.341326574,-8.40555536169584
73,1290797,3.569653022,-7.92771745181292
74,1290798,3.155429935,-8.0520691081673
75,1290806,4.834983827,-6.03370123589258
76,1290807,3.060345561,-6.40620365275507
77,1290808,3.23666473,-6.51417350692016
78,1290809,3.000370342,-7.19002131116508
79,1290810,3.006414401,-5.04553736650097
80,1290812,3.094069001,-5.61507297318279
81,1290813,2.987615069,-7.56316284193069
82,1290814,3.098559303,-7.51516437792031
83,1290905,3.250019216,-4.73566089866843
84,1290908,3.210469378,-7.5890505617444
85,1290922,3.121781174,-8.00191525776584
86,1295740,3.890197341,-8.08560022630764
87,1295741,4.188921686,-10.2843670145802
88,1297446,3.702058059,-8.35284217029183
89,1297447,3.808491874,-7.58706252797805
90,1298134,2.930288584,-5.63261614488
91,1298136,3.063534857,-7.27098679955481
92,1298141,3.413541285,-5.47718018117462
93,1298146,4.362433449,-4.93172026933516
94,1298151,3.442239818,-8.02582071459337
95,1298157,4.048073695,-7.80221308212087
96,1298168,3.337244167,-7.71494157370741
97,1298169,3.622783067,-7.48336882191416
98,1298216,3.787826552,-7.53786662708374
99,1298218,3.171808711,-6.15466832968104
100,1298219,3.183557001,-5.96906128458555
101,1298222,2.95012507,-6.30997300813769
102,1298223,3.471320523,-6.87864299779498
103,1298226,3.55607646,-8.56291588058576
104,1298347,3.645787143,0.764077262165531
105,1298348,3.459583259,-2.59305390025251
106,1298349,3.828908369,-4.85908490211152
107,1298350,3.334511284,-6.68749744643752
108,1298357,3.475822613,-5.08697589616043
109,1298358,3.355483311,-2.36363509215531
110,1298359,3.186920466,-7.06841654616855
111,1298365,3.073233855,-5.9152949258017
112,1298475,3.195209268,-6.70157526464651
113,1298476,3.321883727,-2.83970570061314
114,1298526,3.84695786,-6.37004682964031
115,1298529,3.21171659,-6.05461598590035
116,1298533,3.853484892,-6.16266230290261
117,1298537,3.296193589,-5.18254578644907
118,1298538,3.265108443,-6.42917135780602
119,1298539,3.218488989,-2.58086745524213
120,1299050,3.4596191,-4.4830493250939
121,1299052,3.603322376,-5.70032182314892
122,1299059,3.368384894,-7.52047926645095
123,1299062,3.688803054,-5.45320258959505
